category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,trans_hour,trans_dayofweek,trans_month,customer_age,merchant_distance_km,is_fraud
shopping_net,6.696000000000001,Syracuse,MO,38.6547,-92.8929,628,"""Radiographer, diagnostic""",39.498036,-92.303264,2,3,12,59.0362765229295,106.69661111426306,0
misc_net,45.234,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,47.078092,-117.035862,1,3,12,21.587953456536617,16.93071053174389,0
grocery_pos,538.9380000000001,Meredith,CO,39.3199,-106.6596,61,Public relations account executive,40.095587,-106.387033,3,6,12,80.0930869267625,89.34828013228896,1
kids_pets,7.2540000000000004,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,35.455392,-105.703332,3,0,1,46.49144421629021,67.50805530048478,0
travel,862.668,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,40.715935,-92.784729,1,0,12,46.01505817932922,112.98267783140577,0
personal_care,39.833999999999996,Manley,NE,40.9207,-96.168,206,Human resources officer,41.750868,-95.889044,23,0,1,51.279945242984255,95.20309065278626,0
shopping_net,34.884,Littleton,CO,39.5994,-105.0044,320420,Water engineer,38.830358,-105.953762,1,6,1,43.45516769336072,118.32862854784632,0
home,123.53399999999999,Athena,OR,45.8289,-118.4971,1302,Dealer,46.153429,-119.460021,23,3,12,44.20260095824778,82.68000461685419,0
kids_pets,213.57000000000002,Laramie,WY,41.4247,-105.4781,35371,"""Pilot, airline""",41.89351,-105.917242,1,0,1,30.38466803559206,63.62669434645658,0
gas_transport,57.546,Smith River,CA,41.9404,-124.1587,1930,Web designer,41.917265,-125.036343,2,4,12,37.53593429158111,72.64938911590657,0
home,69.192,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.894361,-122.358962,23,4,1,34.88569472963724,51.26095632376823,0
home,82.962,Howells,NE,41.6964,-96.9858,1063,Research scientist (maths),41.258329,-97.260462,0,6,1,90.80082135523614,53.81783057796812,0
shopping_net,10.854000000000001,Santa Monica,CA,34.0287,-118.4924,92043,"""Civil engineer, contracting""",34.01139,-118.619425,21,0,12,59.676933607118414,11.8641805545953,0
gas_transport,158.436,Arvada,CO,39.8422,-105.1097,122111,Hotel manager,39.772981,-105.959912,2,6,1,31.644079397672822,73.03136895763782,0
kids_pets,420.408,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",49.016592,-122.358861,0,3,1,34.37645448323067,75.2398972534335,0
food_dining,25.218,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,33.297257,-110.699345,0,5,12,33.163586584531146,37.11164590863149,0
health_fitness,135.882,Alva,WY,44.6873,-104.4414,110,"""Administrator, local government""",44.981353,-103.538401,0,6,1,45.64271047227926,78.3526472962084,0
travel,11.556000000000001,San Diego,CA,33.0067,-117.069,1241364,Chartered public finance accountant,33.475118,-117.067941,22,0,12,61.399041752224505,52.08579826139793,0
shopping_pos,15.390000000000002,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,32.049748,-106.252954,1,2,12,53.33607118412046,106.99349998666642,0
health_fitness,35.028000000000006,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,33.981,-111.655262,2,0,1,31.23340177960301,92.642965206165,0
entertainment,63.486000000000004,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,38.908875,-93.320801,23,1,1,46.72416153319645,96.32312410798733,0
misc_pos,10.152,Redford,MO,37.3272,-91.0243,241,Investment analyst,38.310628,-91.16231,21,1,12,46.17385352498289,110.02205420692144,0
misc_pos,10.332,Fort Washakie,WY,43.0048,-108.8964,1645,Information systems manager,43.001553,-109.126857,23,0,12,34.861054072553046,18.743916218191057,0
grocery_pos,93.942,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,36.967368,-105.868464,22,2,1,46.49691991786448,110.46871386084706,0
home,159.318,Newhall,CA,34.3795,-118.523,34882,Health physicist,33.86019,-118.804281,23,1,1,47.70704996577687,63.28419095742764,0
shopping_net,99.144,Burlington,WA,48.4786,-122.3345,14871,Public house manager,49.422505,-122.372602,1,4,12,46.79534565366188,104.9943148189028,0
gas_transport,117.756,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,33.814073,-105.95394,21,0,12,20.366872005475702,58.943973357137246,0
grocery_pos,195.732,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,32.628952,-116.716271,2,5,12,51.011635865845314,143.55999071706054,0
personal_care,23.67,Westerville,NE,41.4193,-99.3844,73,Product designer,42.068162,-99.481746,22,1,1,83.90965092402465,72.6007698627589,0
health_fitness,46.134,Espanola,NM,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,36.939705,-106.750281,3,0,12,48.446269678302535,122.4043048844348,0
entertainment,20.286,San Diego,CA,33.0067,-117.069,1241364,Chartered public finance accountant,33.628639,-116.566535,2,1,1,59.44695414099932,83.44081327830412,0
health_fitness,113.45400000000001,Parks,AZ,35.2563,-111.95,759,"""Geologist, engineering""",34.787748,-111.467935,22,5,1,61.79329226557152,68.12795878908955,0
entertainment,128.322,June Lake,CA,37.7773,-119.0825,633,Health service manager,37.162352,-118.62821,0,4,1,91.35934291581108,79.26564283075338,0
grocery_net,170.208,Superior,AZ,33.2887,-111.0985,2872,Petroleum engineer,32.889918,-110.220647,21,1,1,31.19780971937029,93.0293392904358,0
shopping_pos,6.5520000000000005,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",49.089932,-122.822418,21,2,12,36.328542094455855,90.42878413955414,0
gas_transport,143.784,Gardiner,OR,43.7857,-124.1437,260,"""Engineer, maintenance""",44.629843,-124.380094,3,2,1,62.37371663244353,95.73676779839774,0
shopping_net,1789.236,Spirit Lake,ID,47.9657,-116.868,4161,Production manager,47.634533,-116.936717,2,4,11,63.441478439425055,37.18005910931482,1
shopping_net,3.114,Moriarty,NM,34.9889,-106.0609,7268,"""Therapist, art""",35.039447,-106.159369,22,3,1,30.414784394250518,10.58337035831818,0
gas_transport,120.96000000000001,Moriarty,NM,34.9889,-106.0609,7268,"""Therapist, art""",34.767037,-106.632301,22,0,12,32.39972621492129,57.66709286541908,0
