category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,trans_hour,trans_dayofweek,trans_month,customer_age,merchant_distance_km,is_fraud
personal_care,1.89,Red River,NM,36.6659,-105.4694,606,"""Surveyor, land/geomatics""",36.07168,-105.494087,14,0,1,30.37371663244353,66.11120986325375,0
gas_transport,73.18,Luray,MO,40.4931,-91.8912,519,Town planner,39.665299,-91.151055,1,6,12,54.86926762491444,111.52580170409396,0
shopping_pos,6.83,Red River,NM,36.6659,-105.4694,606,"""Surveyor, land/geomatics""",35.887445,-105.83067,12,4,12,32.30116358658453,92.41978806358308,0
misc_net,7.27,Fort Washakie,WY,43.0048,-108.8964,1645,Information systems manager,43.974711,-109.741904,12,1,1,32.87063655030801,127.6062390956251,0
gas_transport,79.39,Port Costa,CA,38.046,-122.1866,198,Armed forces training and education officer,38.500345,-121.238141,8,2,1,59.7782340862423,96.99170657199056,0
grocery_pos,218.64,Sun City,CA,33.7467,-117.1721,54287,"""Designer, exhibition/display""",34.152619,-117.320321,2,4,12,48.257357973990416,47.16128802923396,0
entertainment,8.77,Eugene,OR,44.0385,-123.0614,191096,"""Scientist, physiological""",44.42574,-124.028817,3,3,1,54.743326488706366,88.28845406043312,0
personal_care,56.34,Aurora,CO,39.6662,-104.835,389246,"""Scientist, marine""",39.583131,-104.769807,14,4,1,49.06228610540725,10.793311124278915,0
personal_care,39.8,Carlotta,CA,40.507,-123.9743,1139,"""Therapist, occupational""",41.047965,-123.919703,21,0,12,69.95208761122518,60.32797609106848,0
home,12.7,Saint Louis,MO,38.6171,-90.4504,927396,Occupational hygienist,37.810161,-89.633634,20,0,1,58.84188911704312,114.64191231116084,0
grocery_pos,76.68,Iliff,CO,40.7692,-103.0968,648,Community arts worker,41.308944,-102.167765,8,5,1,49.28952772073922,98.3517547679253,0
misc_net,90.0,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,38.875895,-122.346085,2,1,12,48.19712525667351,54.178831690138495,0
home,125.36,Redford,MO,37.3272,-91.0243,241,Investment analyst,36.909725,-90.31745,19,2,12,46.17659137577002,77.99230318001602,0
home,19.81,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,39.138714,-93.686796,23,1,1,29.49760438056126,41.92305471712015,0
grocery_net,20.08,Arnold,MO,38.4305,-90.387,35439,Land/geomatics surveyor,37.599783,-91.070391,2,4,1,33.80150581793292,110.07502984740422,0
entertainment,7.84,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.088189,-121.674107,21,0,1,34.874743326488705,52.10418229899631,0
shopping_pos,4.9,Red River,NM,36.6659,-105.4694,606,"""Surveyor, land/geomatics""",37.645348,-105.871262,18,6,1,30.35181382614648,114.584348691608,0
health_fitness,17.38,Albuquerque,NM,35.1506,-106.569,641349,Civil Service administrator,34.611238,-106.078988,17,6,5,43.082819986310746,74.79824990915567,1
entertainment,12.21,Oakland,CA,37.7878,-122.1884,381459,Barista,38.149361,-121.361019,16,2,1,45.034907597535934,82.92550282869301,0
shopping_net,6.36,Luray,MO,40.4931,-91.8912,519,Town planner,41.225666,-91.560351,3,6,1,52.8952772073922,86.07834670059877,0
home,21.26,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",48.265479,-121.485072,14,6,1,34.38466803559206,64.18681346527471,0
personal_care,8.02,Roseland,NE,40.4591,-98.5551,463,"""Nurse, mental health""",40.179548,-97.93895,21,6,1,70.6009582477755,60.78648732238746,0
gas_transport,69.21,Athena,OR,45.8289,-118.4971,1302,Dealer,45.24676,-118.806819,5,5,1,42.21492128678987,69.07951063835765,0
