category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,trans_hour,trans_dayofweek,trans_month,customer_age,merchant_distance_km,is_fraud
entertainment,33.25,Parks,AZ,35.2563,-111.95,759,"""Geologist, engineering""",35.138684,-110.956705,12,0,1,61.817932922655714,91.1981275687565,0
misc_net,6.0,Pueblo,CO,38.2352,-104.66,151815,Further education lecturer,38.864188,-104.397145,4,6,12,32.98015058179329,73.58078919703627,0
grocery_pos,97.3,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,40.352049,-106.613303,7,4,1,40.375085557837096,106.57793382824354,0
grocery_pos,203.83,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.209065,-122.388217,9,6,1,34.85284052019165,42.856802003631735,0
shopping_net,1059.96,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,47.103421,-117.326991,22,5,8,20.194387405886378,23.07483565633018,1
travel,1.29,Lake Oswego,OR,45.4093,-122.6847,42817,Planning and development surveyor,45.949799,-122.50334,16,6,12,38.5845311430527,61.7301441852303,0
misc_net,1.05,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),39.569989,-120.634441,6,4,12,53.58247775496236,26.993210795283435,0
kids_pets,22.39,Newhall,CA,34.3795,-118.523,34882,Health physicist,34.590187,-117.685062,21,6,12,49.67556468172484,80.2948004442414,0
travel,8.94,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,42.079499,-101.253269,12,5,12,38.87200547570158,103.17218917961732,0
gas_transport,42.11,Cascade Locks,OR,45.671,-121.8686,1288,Barrister,45.99422,-122.35017,7,5,12,84.65434633812457,51.80476340635197,0
food_dining,9.01,Glendale,CA,34.1556,-118.2322,172817,Advertising account planner,34.468676,-117.958582,15,5,12,38.40930869267625,42.93527753719376,0
grocery_net,71.05,Newberg,OR,45.3099,-122.9685,28278,Research scientist (physical sciences),44.477833,-123.051087,9,2,1,41.46201232032854,92.75004679436331,0
entertainment,6.03,Corona,CA,33.8419,-117.6043,233717,Wellsite geologist,34.642273,-117.72843,1,0,12,54.60369609856263,89.72584587529789,0
food_dining,7.29,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,47.776867,-117.373221,19,3,12,21.587953456536617,64.9301275073824,0
gas_transport,57.48,Moriarty,NM,34.9889,-106.0609,7268,"""Therapist, art""",34.877347,-107.03238,6,0,1,30.46406570841889,89.42414340611555,0
home,70.96,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,31.982019,-106.217136,12,0,1,51.37577002053388,112.84294213285791,0
grocery_pos,294.39,Tekoa,WA,47.2271,-117.0819,895,Clothing/textile technologist,47.447456,-116.279282,7,6,8,20.197125256673512,65.25547654863912,1
travel,8.7,Altonah,UT,40.3207,-110.436,302,"""Sales professional, IT""",39.69092,-110.97387,12,4,12,30.937713894592743,83.68175563014964,0
shopping_net,7.68,Daly City,CA,37.6787,-122.478,107941,"""Buyer, industrial""",36.988085,-122.574711,15,5,12,29.229295003422312,77.26743425624205,0
grocery_pos,199.41,Colorado Springs,CO,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,39.837821,-105.618294,7,3,12,28.64613278576317,134.1690252702107,0
gas_transport,47.08,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,33.33236,-104.835644,9,1,1,51.34017796030116,101.43526385311304,0
food_dining,65.03,Vinton,CA,40.0235,-120.7986,128,Education administrator,40.108329,-120.208316,19,3,1,52.88432580424367,51.10981704018393,0
grocery_pos,118.66,Carlotta,CA,40.507,-123.9743,1139,"""Therapist, occupational""",40.3689,-124.674437,7,0,12,69.95208761122518,61.21089157070756,0
kids_pets,42.56,Littleton,CO,39.5994,-105.0044,320420,Water engineer,40.291439,-104.795514,15,1,1,43.441478439425055,78.98464794892557,0
misc_net,144.82,Stayton,OR,44.8021,-122.7624,9587,"""Engineer, biomedical""",43.909551,-122.485963,0,6,1,50.82546201232033,101.65116515720442,0
gas_transport,19.06,Gardiner,OR,43.7857,-124.1437,260,"""Engineer, maintenance""",43.65284,-123.463528,2,5,2,63.45516769336072,56.62265617008916,1
kids_pets,32.11,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,39.688855,-93.132194,15,5,1,46.71594798083505,42.889815776209154,0
kids_pets,135.02,Freedom,WY,43.0172,-111.0292,471,"""Education officer, museum""",43.175827,-111.383578,16,3,12,53.4154688569473,33.74967375756958,0
shopping_pos,1469.4,Mountain Center,CA,33.6401,-116.5567,1661,"""Therapist, music""",34.616307,-115.750937,13,0,1,30.31895961670089,131.46600416621268,0
grocery_pos,340.41,Fields Landing,CA,40.7268,-124.2174,276,"""Scientist, audiological""",39.754545,-123.495913,23,2,4,89.927446954141,124.24846407991974,1
shopping_pos,1.55,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,44.489228,-116.825892,23,2,1,47.90965092402464,98.53770107949592,0
personal_care,5.19,Red River,NM,36.6659,-105.4694,606,"""Surveyor, land/geomatics""",36.546908,-104.525924,20,4,12,32.30116358658453,85.24906533945781,0
food_dining,39.71,Carlotta,CA,40.507,-123.9743,1139,"""Therapist, occupational""",40.847277,-123.625863,16,5,1,67.9917864476386,47.90645639385217,0
grocery_pos,290.92,Syracuse,MO,38.6547,-92.8929,628,"""Radiographer, diagnostic""",38.541135,-92.984968,21,0,6,57.49486652977413,14.949223251165796,1
shopping_pos,218.78,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,37.392702,-122.922783,10,1,12,66.48596851471595,94.51826552852012,0
