category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,trans_hour,trans_dayofweek,trans_month,customer_age,merchant_distance_km,is_fraud
kids_pets,25.575000000000003,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,48.186298,-122.079857,18,2,12,36.83504449007529,76.7756358664609,0
health_fitness,115.455,Santa Monica,CA,34.0287,-118.4924,92043,"""Civil engineer, contracting""",33.912334,-118.181708,21,6,1,57.738535249828885,31.437313750992924,0
personal_care,257.565,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,33.544797,-116.796852,17,3,12,51.02532511978097,85.08066239837771,0
kids_pets,37.38,Sun City,CA,33.7467,-117.1721,54287,"""Designer, exhibition/display""",34.43631,-117.930864,19,4,12,48.257357973990416,103.73908276214016,0
shopping_pos,2.205,Red River,NM,36.6659,-105.4694,606,"""Surveyor, land/geomatics""",36.973062,-105.777026,18,4,12,32.30116358658453,43.77657927519567,0
grocery_pos,431.79,Valentine,NE,42.8062,-100.6215,4005,Network engineer,43.098764,-101.273137,1,5,9,74.48049281314168,62.21630165399659,1
health_fitness,97.27499999999999,Burlington,WA,48.4786,-122.3345,14871,Public house manager,49.162802,-122.844867,12,6,12,46.80082135523614,84.75975812418646,0
home,85.65,Issaquah,WA,47.4974,-122.0107,50489,Osteopath,47.237816,-122.411757,15,6,12,36.82683093771389,41.77844248600659,0
food_dining,13.155,Altonah,UT,40.3207,-110.436,302,"""Sales professional, IT""",40.7736,-109.817509,23,0,12,30.94592744695414,72.57451489226719,0
entertainment,109.455,Lonetree,WY,41.0552,-110.1603,49,Research scientist (physical sciences),40.775539,-110.923086,18,4,12,39.47433264887064,71.23999245104802,0
gas_transport,64.005,Blairstown,MO,38.5319,-93.9221,467,Agricultural consultant,38.719345,-94.579191,0,3,12,70.59822039698837,60.76766039784443,0
kids_pets,120.21000000000001,Newhall,CA,34.3795,-118.523,34882,Health physicist,35.290871,-119.462635,21,3,1,47.71252566735113,132.75529648128273,0
food_dining,59.565,Carlotta,CA,40.507,-123.9743,1139,"""Therapist, occupational""",40.847277,-123.625863,16,5,1,67.9917864476386,47.90645639385217,0
grocery_pos,550.92,American Fork,UT,40.3928,-111.7941,42384,Futures trader,39.571072,-110.913889,8,4,8,26.590006844626966,118.20726931597385,1
